instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_15_3_2","origin","Optimal",true,true,39506.532633,39506.493863,0.000001,511.331424
"MVPRP1_15_3_2","reform","Optimal",true,true,39506.532633,39506.520612,0.000000,400.501132
"MVPRP1_15_3_2","lbbd_no_init","LBBD_Converged(iter=60,feasCuts=34,optCuts=24,lpDualCuts=62,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,39506.532633,39506.532633,0.000000,100.102857
"MVPRP1_15_3_3","origin","Feasible",true,false,40259.181343,40027.513676,0.005754,1200.077633
"MVPRP1_15_3_3","reform","Optimal",true,true,40259.181343,40259.141979,0.000001,380.271302
"MVPRP1_15_3_3","lbbd_no_init","LBBD_Converged(iter=273,feasCuts=253,optCuts=18,lpDualCuts=48,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,40259.181343,40259.181343,0.000000,31.044351
"MVPRP1_15_6_2","origin","Feasible",true,false,66625.837084,65171.215098,0.021833,1202.851891
"MVPRP1_15_6_2","reform","Feasible",true,false,66615.208847,65130.248496,0.022292,1200.137632
"MVPRP1_15_6_2","lbbd_no_init","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,1036.453742
"MVPRP1_15_6_3","origin","Feasible",true,false,67992.866558,65584.951913,0.035414,1202.467507
"MVPRP1_15_6_3","reform","Feasible",true,false,68041.469490,65501.521436,0.037329,1203.048041
"MVPRP1_15_6_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=7,feasCuts=0,optCuts=6,lpDualCuts=18,incPruneCuts=0,targetPruneCuts=0)",true,false,69497.628815,65064.716300,0.063785,306.104760
"MVPRP1_15_9_2","origin","Feasible",true,false,97293.335437,94703.866422,0.026615,1203.735076
"MVPRP1_15_9_2","reform","Feasible",true,false,97310.902766,94746.052816,0.026357,1199.974895
"MVPRP1_15_9_2","lbbd_no_init","LBBD_GlobalTimeLimit(iter=2,feasCuts=0,optCuts=1,lpDualCuts=3,incPruneCuts=0,targetPruneCuts=0)",true,false,98753.510696,90108.221373,0.087544,306.000163
"MVPRP1_15_9_3","origin","Feasible",true,false,99636.516397,95467.961557,0.041838,1202.370345
"MVPRP1_15_9_3","reform","Feasible",true,false,99505.874752,95432.941197,0.040932,1204.012397
"MVPRP1_15_9_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=10,feasCuts=0,optCuts=9,lpDualCuts=27,incPruneCuts=0,targetPruneCuts=0)",true,false,100990.236701,96230.918663,0.047127,307.995494
"MVPRP2_15_3_2","origin","Optimal",true,true,283856.532633,283856.259062,0.000001,407.121125
"MVPRP2_15_3_2","reform","Optimal",true,true,283856.532633,283856.254095,0.000001,335.068922
"MVPRP2_15_3_2","lbbd_no_init","LBBD_Converged(iter=50,feasCuts=11,optCuts=37,lpDualCuts=80,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,283856.532633,283856.532633,0.000000,54.448533
"MVPRP2_15_3_3","origin","Optimal",true,true,284609.181343,284608.912484,0.000001,370.131843
"MVPRP2_15_3_3","reform","Optimal",true,true,284609.181343,284608.905066,0.000001,262.826382
"MVPRP2_15_3_3","lbbd_no_init","LBBD_Converged(iter=103,feasCuts=83,optCuts=18,lpDualCuts=46,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,284609.181343,284609.181343,0.000000,8.139926
"MVPRP2_15_6_2","origin","Feasible",true,false,555309.071229,553853.028821,0.002622,1209.416399
"MVPRP2_15_6_2","reform","Feasible",true,false,555490.089683,553795.893688,0.003050,1201.203856
"MVPRP2_15_6_2","lbbd_no_init","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,776.239037
"MVPRP2_15_6_3","origin","Feasible",true,false,556679.788813,554308.189445,0.004260,1207.352935
"MVPRP2_15_6_3","reform","Feasible",true,false,556744.191962,554261.039756,0.004460,1204.854698
"MVPRP2_15_6_3","lbbd_no_init","LBBD_GlobalTimeLimit(iter=8,feasCuts=0,optCuts=7,lpDualCuts=21,incPruneCuts=0,targetPruneCuts=0)",true,false,558000.598893,554094.954582,0.006999,300.051365
"MVPRP2_15_9_2","origin","Feasible",true,false,803336.972854,800859.166956,0.003084,1204.000658
"MVPRP2_15_9_2","reform","Feasible",true,false,803304.247195,800886.667141,0.003010,1206.915107
"MVPRP2_15_9_2","lbbd_no_init","LBBD_GlobalTimeLimit(iter=2,feasCuts=0,optCuts=1,lpDualCuts=3,incPruneCuts=0,targetPruneCuts=0)",true,false,804529.350908,796105.248743,0.010471,300.075981
"MVPRP2_15_9_3","origin","Feasible",true,false,805549.782459,801707.292288,0.004770,1201.723990
