instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_10_3_2","origin","Optimal",true,true,26821.127479,26821.117562,0.000000,3.223755
"MVPRP1_10_3_2","reform","Optimal",true,true,26821.127479,26821.117562,0.000000,4.559834
"MVPRP1_10_3_2","lbbd_no_init","LBBD_Converged(iter=16,feasCuts=2,optCuts=12,lpDualCuts=22,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,26821.127479,26821.127479,0.000000,1.072102
"MVPRP1_10_3_2","lbbd","LBBD_Converged(iter=16,feasCuts=2,optCuts=12,lpDualCuts=22,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,26821.127479,26821.127479,0.000000,17.673829
"MVPRP1_10_3_3","origin","Optimal",true,true,27357.482585,27357.482585,0.000000,0.764521
"MVPRP1_10_3_3","reform","Optimal",true,true,27357.482585,27357.482585,0.000000,1.955593
"MVPRP1_10_3_3","lbbd_no_init","LBBD_Converged(iter=12,feasCuts=0,optCuts=10,lpDualCuts=19,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,27357.482585,27357.482585,0.000000,0.492774
"MVPRP1_10_3_3","lbbd","LBBD_Converged(iter=12,feasCuts=0,optCuts=10,lpDualCuts=19,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,27357.482585,27357.482585,0.000000,5.716399
"MVPRP1_10_6_2","origin","Optimal",true,true,44203.266062,44203.266062,0.000000,10.208353
"MVPRP1_10_6_2","reform","Optimal",true,true,44203.266068,44203.266068,0.000000,3.045963
"MVPRP1_10_6_2","lbbd_no_init","LBBD_Converged(iter=21,feasCuts=0,optCuts=19,lpDualCuts=51,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,44203.266068,44203.266068,0.000000,12.018599
"MVPRP1_10_6_2","lbbd","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,690.963098
"MVPRP1_10_6_3","origin","Feasible",true,false,45223.935420,44900.980439,0.007141,600.039860
"MVPRP1_10_6_3","reform","Optimal",true,true,45223.935420,45223.892407,0.000001,325.530986
"MVPRP1_10_6_3","lbbd_no_init","LBBD_Converged(iter=21,feasCuts=0,optCuts=19,lpDualCuts=47,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,45223.935420,45223.935420,0.000000,5.337677
"MVPRP1_10_6_3","lbbd","LBBD_Converged(iter=20,feasCuts=0,optCuts=18,lpDualCuts=48,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,45223.935420,45223.935420,0.000000,37.342572
